town;parentCategory;subCategory;name;website;phone;address
Bryn Mawr;Food & Drink;Bakeries;Amaranth Gluten Free Bakery;https://www.amaranthbakery.com/s/order?location=11ec45a627613c299b46ac1f6bbba82c;+1 (717) 656-3533;N/A
Ridley Park;Food & Drink;Bakeries;Ardour Bakery + Coffee;https://ardourbakery.com/;+1 (610) 521-0450;N/A
Media;Food & Drink;Bakeries;Artisan Boulanger Patissier;N/A;+1 (484) 445-2150;N/A
East Lansdowne;Food & Drink;Bakeries;Ashley’s Cake Shoppe;N/A;+1 (610) 622-1037;N/A
Chadds Ford;Food & Drink;Bakeries;Aunt Kim's Gluten Free Bakery;https://www.facebook.com/Aunt-Kims-Gluten-Free-Bakery-100207331845148;+1 (610) 558-3300;N/A
Ardmore;Food & Drink;Bakeries;Browers Brownies;N/A;+1 (610) 896-7958;N/A
Chester;Food & Drink;Bakeries;Buono Bros Bakery;N/A;+1 (610) 876-9224;N/A
Springfield;Food & Drink;Bakeries;Choice Springfield Chimney Cleaning;https://chimneybestpa.com/;+1 (610) 600-9400;N/A
Springfield;Food & Drink;Bakeries;Cinnabon;https://locations.cinnabon.com/pa/springfield/1250-baltimore-pike;+1 (484) 440-2020;N/A
Springfield;Food & Drink;Bakeries;Cold Stone Creamery;https://www.coldstonecreamery.com/stores/21287;+1 (610) 328-7600;N/A
Broomall;Food & Drink;Bakeries;Crumbl;https://crumblcookies.com/pabroomall;+1 (484) 451-8411;N/A
Glen Mills;Food & Drink;Bakeries;Crumbl;https://crumblcookies.com/paglenmills;+1 (610) 750-9177;N/A
Wayne;Food & Drink;Bakeries;Crumbl;https://crumblcookies.com/pawayne;+1 (484) 393-2525;N/A
Glen Mills;Food & Drink;Bakeries;Cupcake Sisters;http://www.cupcakesistersbakery.com;+1 (484) 800-8940;N/A
Aston;Food & Drink;Bakeries;Devour Desserts Delco;https://devourdesserts.com;+1 (610) 497-1571;N/A
Upper Chichester;Food & Drink;Bakeries;Doctor Cookie's Corner;http://doctorcookiescorner.org;+1 (610) 551-3922;N/A
Upper Darby Township;Food & Drink;Bakeries;Dora's Bakery;https://dora-s-bakery.hub.biz;+1 (484) 461-3315;N/A
Bryn Mawr;Food & Drink;Bakeries;Frecon Farms;https://freconfarms.com;N/A;N/A
Darby;Food & Drink;Bakeries;Fred Water Ice Mini Market;http://fredswaterice.com;+1 (215) 399-7867;N/A
Bryn Mawr;Food & Drink;Bakeries;Hope's Cookies;http://www.hopescookies.com;+1 (610) 527-4488;N/A
Ardmore;Food & Drink;Bakeries;Insomnia Cookies;https://insomniacookies.com/;+1 (610) 880-8824;N/A
Bryn Mawr;Food & Drink;Bakeries;Insomnia Cookies;https://insomniacookies.com/;+1 (610) 595-4203;N/A
Broomall;Food & Drink;Bakeries;Jacquette's Bakery;http://jacquettesbakery.com/;+1 (610) 353-2550;N/A
Chester;Food & Drink;Bakeries;Jj Sweet Tooth Bakery;http://www.jjsweettooth.com/;+1 (610) 701-1856;N/A
Green Ridge;Food & Drink;Bakeries;Just Homemade Ice Cream;http://justhomemadeicecream.com/;+1 (610) 497-5550;N/A
Lansdowne;Food & Drink;Bakeries;Kia's Cakes;https://www.kiascakes.com;+1 (484) 461-3793;N/A
Garnet Valley;Food & Drink;Bakeries;Linda's Bakery;N/A;+1 (610) 497-3933;N/A
Darby;Food & Drink;Bakeries;Manna Bakery;N/A;+1 (224) 769-6933;N/A
Prospect Park;Food & Drink;Bakeries;Maria's Bakery;https://mariasbakerydelco.com;+1 (610) 532-4720;N/A
Glen Mills;Food & Drink;Bakeries;Metropolitan Bakery;N/A;+1 (610) 361-4010;N/A
Yeadon;Food & Drink;Bakeries;Mission Burrito;N/A;+1 (610) 622-6900;N/A
Lansdowne;Food & Drink;Bakeries;My Old Place Bakery;https://www.facebook.com/MyOldPlaceBakery/;+1 (610) 259-4000;N/A
Springfield;Food & Drink;Bakeries;Nothing Bundt Cakes;https://www.nothingbundtcakes.com/all-products/;+1 (484) 474-1133;N/A
Wayne;Food & Drink;Bakeries;Nothing Bundt Cakes;https://www.nothingbundtcakes.com/all-products/;+1 (610) 340-3440;N/A
Chadds Ford;Food & Drink;Bakeries;Oso Sweet Bakery Cafe;http://ososweet.shop;+1 (610) 880-8118;N/A
Swarthmore;Food & Drink;Bakeries;Pastry Pants Bakery;http://pastrypants.com;+1 (610) 328-3963;N/A
Chester;Food & Drink;Bakeries;Phatso's Bakery;http://www.phatsosbakery.com/;+1 (610) 874-4240;N/A
Darby;Food & Drink;Bakeries;Philly Bakery;N/A;+1 (267) 223-5485;N/A
Yeadon;Food & Drink;Bakeries;Pound Cake Heaven;N/A;+1 (610) 613-6206;N/A
Chester;Food & Drink;Bakeries;Scoop’d;N/A;N/A;N/A
Drexel Hill;Food & Drink;Bakeries;SophistiCakes Bakery;https://www.sophisticakespa.com;+1 (610) 626-7900;N/A
Ardmore;Food & Drink;Bakeries;Stoltzfus Family Foods;https://www.stoltzfusfamilyfoods.com;+1 (610) 658-2455;N/A
Lansdowne;Food & Drink;Bakeries;Sweet Gardenia;https://www.sweetgardeniabakes.com;+1 (866) 947-9834;N/A
Havertown;Food & Drink;Bakeries;Sweets on Darby;http://sweetsondarby.com;+1 (610) 550-3305;N/A
Brookhaven;Food & Drink;Bakeries;TAFF Treats;http://www.tafftreats.com;+1 (484) 480-8784;N/A
Garnet Valley;Food & Drink;Bakeries;Tasty Baking Co;N/A;+1 (484) 800-8082;N/A
Bryn Mawr;Food & Drink;Bakeries;The Bakery House;http://www.thebakeryhouse.net/;+1 (610) 525-4139;N/A
Wayne;Food & Drink;Bakeries;The Chelsea Bakery;https://thechelseabakery.com/;N/A;N/A
Media;Food & Drink;Bakeries;The Cookie Plug;https://cookieplug.com;+1 (717) 918-0104;N/A
Wayne;Food & Drink;Bakeries;The Happy Mixer Gluten Free Bakery;https://www.thehappymixer.com;+1 (484) 580-6680;N/A
Ardmore;Food & Drink;Bakeries;The Ultimate Bake Shoppe;https://ultimatebakeshoppeofardmore.com;+1 (610) 649-2332;N/A
Wayne;Food & Drink;Bakeries;The Ultimate Bake Shoppe Of Wayne;N/A;+1 (610) 687-5620;N/A
Haverford;Food & Drink;Bakeries;Tous Les Jours;http://tljus.com;+1 (484) 416-3133;N/A
Wayne;Food & Drink;Bakeries;Tous Les Jours;http://tljus.com;+1 (484) 580-8071;N/A
Prospect Park;Food & Drink;Bakeries;Yum Cha Bubble Tea;https://yumchabt.com;+1 (610) 288-3596;N/A
Wayne;Food & Drink;Bars;118 North;http://www.118northwayne.com;+1 (610) 971-2628;N/A
Chester;Food & Drink;Bars;2701 sports bar and grill;https://www.facebook.com/2701sportsbarngrill/;+1 (484) 480-3088;N/A
Chadds Ford;Food & Drink;Bars;2SP Tap House;https://2sptaphouse.com;+1 (484) 840-8736;N/A
Wayne;Food & Drink;Bars;333 Belrose Bar & Grill;http://www.333belrose.com/;+1 (610) 293-1000;N/A
Upper Darby;Food & Drink;Bars;69th Street Lounge;N/A;+1 (610) 713-9447;N/A
Havertown;Food & Drink;Bars;Al Pastor;https://eatalpastorhavertown.com;+1 (484) 455-4585;N/A
Wayne;Food & Drink;Bars;Alessandro's Wood Fired Italian & Bar;https://alessandroswoodfired.com;+1 (484) 580-6786;N/A
Chadds Ford;Food & Drink;Bars;Alexander's;N/A;N/A;N/A
Chadds Ford;Food & Drink;Bars;Antica Restaurant & Wine Bar;https://www.anticapa.com/;+1 (484) 770-8631;N/A
Folsom;Food & Drink;Bars;Applebee's Grill + Bar;https://restaurants.applebees.com/en-us/pa/folsom/320-macdade-blvd.-97017;+1 (610) 461-7573;N/A
Green Ridge;Food & Drink;Bars;Applebee's Grill + Bar;https://restaurants.applebees.com/en-us/pa/aston/4301-pennell-road-76022;+1 (610) 485-3528;N/A
Havertown;Food & Drink;Bars;Applebee's Grill + Bar;https://restaurants.applebees.com/en-us/pa/havertown/1305-west-chester-pike-99081;+1 (610) 449-2296;N/A
Media;Food & Drink;Bars;Ariano;http://www.ariano.net;+1 (610) 892-6944;N/A
Chester Heights;Food & Drink;Bars;Ashley's Restaurant & Bar;https://www.ashleysrandb.com;+1 (610) 572-2323;N/A
Lansdowne;Food & Drink;Bars;B's Que Shot Lounge;N/A;+1 (610) 259-2877;N/A
Ardmore;Food & Drink;Bars;Bam Bam Kitchen;N/A;+1 (484) 844-7827;N/A
Bryn Mawr;Food & Drink;Bars;Bar Avalon;https://www.avalonrestaurant.net;+1 (610) 520-9700;N/A
Media;Food & Drink;Bars;Barnaby's of America;http://www.barnabysaston.com;+1 (610) 558-1929;N/A
Havertown;Food & Drink;Bars;Barnabys Restaurant & pub;http://www.barnabyshavertown.com/;+1 (610) 789-1885;N/A
Ardmore;Food & Drink;Bars;Beer Frame;N/A;+1 (484) 829-0026;N/A
Newtown Square;Food & Drink;Bars;Bonefish Grill;https://locations.bonefishgrill.com/pennsylvania/newtown-square/4889-w.-chester-pike;+1 (610) 355-1784;N/A
Chester;Food & Drink;Bars;Boots & Bonnets;;+1 (484) 483-9850;N/A
Chadds Ford;Food & Drink;Bars;Brandywine Prime;http://www.brandywineprime.com;+1 (610) 388-8088;N/A
Havertown;Food & Drink;Bars;Brick & Brew;https://www.bricknbrewpub.com/havertown;+1 (484) 455-7250;N/A
Media;Food & Drink;Bars;Brick & Brew Media;https://www.bricknbrewpub.com/media;+1 (484) 443-8441;N/A
Clifton Heights;Food & Drink;Bars;Broadway Bar & Grille;https://clamtavern.net/68-2/;+1 (484) 461-2802;N/A
Norwood;Food & Drink;Bars;Bud's Cafe;N/A;+1 (484) 494-0075;N/A
Glen Mills;Food & Drink;Bars;Buffalo Wild Wings;https://www.buffalowildwings.com/locations/us/pa/glen-mills/920-baltimore-pike/sports-bar-843;+1 (484) 840-9150;N/A
Havertown;Food & Drink;Bars;Burke's Inn;http://www.burkesinn.com;+1 (610) 789-1668;N/A
